theta,t,omega
0.2235686182975769,0.20202019810676575,0.8631578947368421
0.2967970073223114,0.3030303120613098,0.8631578947368421
0.18164415657520294,0.4040403962135315,0.8631578947368421
0.2513665556907654,0.5050504803657532,0.8631578947368421
0.24876165390014648,0.6060606241226196,0.8631578947368421
0.19353200495243073,0.7070707082748413,0.8631578947368421
0.2369414120912552,0.808080792427063,0.8631578947368421
0.29218387603759766,0.9090908765792847,0.8631578947368421
0.344006210565567,1.0101009607315063,0.8631578947368421
0.26161348819732666,1.111111044883728,0.8631578947368421
0.36249658465385437,1.2121212482452393,0.8631578947368421
0.3395000696182251,1.313131332397461,0.8631578947368421
0.23701828718185425,1.4141414165496826,0.8631578947368421
0.2011646330356598,1.5151515007019043,0.8631578947368421
0.19823457300662994,1.616161584854126,0.8631578947368421
0.07655191421508789,1.7171716690063477,0.8631578947368421
0.1417478322982788,1.8181817531585693,0.8631578947368421
0.04622870683670044,1.919191837310791,0.8631578947368421
-0.01514176931232214,2.0202019214630127,0.8631578947368421
-0.05007467791438103,2.1212120056152344,0.8631578947368421
-0.0063094645738601685,2.222222089767456,0.8631578947368421
-0.08293301612138748,2.3232321739196777,0.8631578947368421
-0.14355094730854034,2.4242424964904785,0.8631578947368421
-0.24291612207889557,2.5252525806427,0.8631578947368421
-0.2650361955165863,2.626262664794922,0.8631578947368421
-0.32796329259872437,2.7272727489471436,0.8631578947368421
-0.3918580114841461,2.8282828330993652,0.8631578947368421
-0.4676494002342224,2.929292917251587,0.8631578947368421
-0.4880727529525757,3.0303030014038086,0.8631578947368421
-0.4080754220485687,3.1313130855560303,0.8631578947368421
-0.4037732481956482,3.232323169708252,0.8631578947368421
-0.43939512968063354,3.3333332538604736,0.8631578947368421
-0.4597059488296509,3.4343433380126953,0.8631578947368421
-0.4018401801586151,3.535353422164917,0.8631578947368421
-0.3067762553691864,3.6363635063171387,0.8631578947368421
-0.30614134669303894,3.7373735904693604,0.8631578947368421
-0.27134138345718384,3.838383674621582,0.8631578947368421
-0.2084628790616989,3.9393937587738037,0.8631578947368421
-0.263189435005188,4.040403842926025,0.8631578947368421
-0.10891029238700867,4.141414165496826,0.8631578947368421
-0.0378660187125206,4.242424011230469,0.8631578947368421
0.066115602850914,4.3434343338012695,0.8631578947368421
-0.0562288723886013,4.444444179534912,0.8631578947368421
-0.09989050030708313,4.545454502105713,0.8631578947368421
0.034017980098724365,4.6464643478393555,0.8631578947368421
0.1129826158285141,4.747474670410156,0.8631578947368421
0.06915974617004395,4.848484992980957,0.8631578947368421
0.1542980819940567,4.9494948387146,0.8631578947368421
0.16755230724811554,5.0505051612854,0.8631578947368421
0.09202934801578522,5.151515007019043,0.8631578947368421
0.0901867151260376,5.252525329589844,0.8631578947368421
0.026871562004089355,5.3535356521606445,0.8631578947368421
0.031198076903820038,5.454545497894287,0.8631578947368421
0.037086330354213715,5.555555820465088,0.8631578947368421
0.06149992719292641,5.6565656661987305,0.8631578947368421
0.05440422147512436,5.757575988769531,0.8631578947368421
0.04151865094900131,5.858585834503174,0.8631578947368421
0.0629410669207573,5.959596157073975,0.8631578947368421
0.06996621936559677,6.060606002807617,0.8631578947368421
-0.05272635072469711,6.161616325378418,0.8631578947368421
0.08401714265346527,6.262626647949219,0.8631578947368421
0.10482193529605865,6.363636493682861,0.8631578947368421
-0.0707525983452797,6.464646339416504,0.8631578947368421
0.055268026888370514,6.565656661987305,0.8631578947368421
0.179829940199852,6.6666669845581055,0.8631578947368421
0.1480141580104828,6.767676830291748,0.8631578947368421
0.19895467162132263,6.868686676025391,0.8631578947368421
0.12653057277202606,6.969696998596191,0.8631578947368421
0.1938503235578537,7.070707321166992,0.8631578947368421
0.2742277681827545,7.171717166900635,0.8631578947368421
0.2859930098056793,7.272727012634277,0.8631578947368421
0.35002511739730835,7.373737335205078,0.8631578947368421
0.36231663823127747,7.474747657775879,0.8631578947368421
0.26013094186782837,7.5757575035095215,0.8631578947368421
0.2705663740634918,7.676767826080322,0.8631578947368421
0.24810950458049774,7.777777671813965,0.8631578947368421
0.28393349051475525,7.878787994384766,0.8631578947368421
0.2512966990470886,7.979798316955566,0.8631578947368421
0.1985040158033371,8.080808639526367,0.8631578947368421
0.10685847699642181,8.181818008422852,0.8631578947368421
0.06913053244352341,8.282828330993652,0.8631578947368421
0.040352191776037216,8.383838653564453,0.8631578947368421
-0.02706596627831459,8.484848022460938,0.8631578947368421
0.01733068935573101,8.585858345031738,0.8631578947368421
-0.10599274188280106,8.686868667602539,0.8631578947368421
-0.10141991823911667,8.78787899017334,0.8631578947368421
-0.16861844062805176,8.88888931274414,0.8631578947368421
-0.2359820306301117,8.989898681640625,0.8631578947368421
-0.25325536727905273,9.090909004211426,0.8631578947368421
-0.20769231021404266,9.191919326782227,0.8631578947368421
-0.1902437061071396,9.292929649353027,0.8631578947368421
-0.28913700580596924,9.393939018249512,0.8631578947368421
-0.31285789608955383,9.494949340820312,0.8631578947368421
-0.28108876943588257,9.595959663391113,0.8631578947368421
-0.27375245094299316,9.696969985961914,0.8631578947368421
-0.3080383539199829,9.797979354858398,0.8631578947368421
-0.30355918407440186,9.8989896774292,0.8631578947368421
-0.16002227365970612,10.0,0.8631578947368421
-0.633130669593811,0.0,0.8842105263157896
-0.7167717218399048,0.10101009905338287,0.8842105263157896
-0.6634049415588379,0.20202019810676575,0.8842105263157896
-0.6409347057342529,0.3030303120613098,0.8842105263157896
-0.5978769659996033,0.4040403962135315,0.8842105263157896
-0.5032111406326294,0.5050504803657532,0.8842105263157896
-0.5785370469093323,0.6060606241226196,0.8842105263157896
-0.5282361507415771,0.7070707082748413,0.8842105263157896
-0.4519195556640625,0.808080792427063,0.8842105263157896
-0.3221883177757263,0.9090908765792847,0.8842105263157896
-0.2544615566730499,1.0101009607315063,0.8842105263157896
-0.24952194094657898,1.111111044883728,0.8842105263157896
-0.01247723400592804,1.2121212482452393,0.8842105263157896
